date,state,total_cases,total_deaths
4/4/2020,PULAU PINANG,99,1
4/4/2020,PERAK,207,4
4/4/2020,SELANGOR,890,4
4/4/2020,NEGERI SEMBILAN,220,4
4/4/2020,MELAKA,75,1
4/4/2020,JOHOR,422,13
4/4/2020,PAHANG,151,1
4/4/2020,TERENGGANU,74,0
4/4/2020,KELANTAN,139,3
4/4/2020,SABAH,225,1
4/4/2020,SARAWAK,246,10
4/4/2020,WP KUALA LUMPUR,595,12
4/4/2020,WP PUTRAJAYA,36,0
4/4/2020,WP LABUAN,11,0
5/4/2020,PERLIS,13,1
5/4/2020,KEDAH,82,1
5/4/2020,PULAU PINANG,101,1
5/4/2020,PERAK,213,4
5/4/2020,SELANGOR,943,4
5/4/2020,NEGERI SEMBILAN,231,4
5/4/2020,MELAKA,89,1
5/4/2020,JOHOR,438,13
5/4/2020,PAHANG,158,1
5/4/2020,TERENGGANU,84,0
5/4/2020,KELANTAN,141,3
5/4/2020,SABAH,238,2
5/4/2020,SARAWAK,261,12
5/4/2020,WP KUALA LUMPUR,622,13
5/4/2020,WP PUTRAJAYA,37,0
5/4/2020,WP LABUAN,11,0
6/4/2020,PERLIS,13,1
6/4/2020,KEDAH,85,1
6/4/2020,PULAU PINANG,101,1
6/4/2020,PERAK,219,4
6/4/2020,SELANGOR,970,4
6/4/2020,NEGERI SEMBILAN,239,4
6/4/2020,MELAKA,99,1
6/4/2020,JOHOR,468,13
6/4/2020,PAHANG,161,1
6/4/2020,TERENGGANU,90,1
6/4/2020,KELANTAN,142,3
6/4/2020,SABAH,240,2
6/4/2020,SARAWAK,273,12
6/4/2020,WP KUALA LUMPUR,640,13
6/4/2020,WP PUTRAJAYA,41,0
6/4/2020,WP LABUAN,12,0
7/4/2020,PERLIS,17,1
7/4/2020,KEDAH,90,1
7/4/2020,PULAU PINANG,102,1
7/4/2020,PERAK,233,4
7/4/2020,SELANGOR,1020,4
7/4/2020,NEGERI SEMBILAN,261,4
7/4/2020,MELAKA,103,1
7/4/2020,JOHOR,478,14
7/4/2020,PAHANG,166,1
7/4/2020,TERENGGANU,90,1
7/4/2020,KELANTAN,147,3
7/4/2020,SABAH,241,2
7/4/2020,SARAWAK,288,12
7/4/2020,WP KUALA LUMPUR,671,13
